Time_s,Raw_Theta_deg
7.576212117172165961e+01,4.118268405504834107e+01
7.577045400511053685e+01,4.118268405504834107e+01
7.577878683849942831e+01,4.118268405504834107e+01
7.578711967188830556e+01,4.118268405504834107e+01
7.579545250527718281e+01,4.493510242587601766e+01
7.580378533866607427e+01,4.493510242587601766e+01
7.581211817205495151e+01,4.493510242587601766e+01
7.582045100544384297e+01,4.493510242587601766e+01
7.582878383883272022e+01,4.896565047517218972e+01
7.583711667222159747e+01,4.896565047517218972e+01
7.584544950561048893e+01,4.896565047517218972e+01
7.585378233899936617e+01,4.896565047517218972e+01
7.586211517238825763e+01,5.147606668618139736e+01
7.587044800577713488e+01,5.147606668618139736e+01
7.587878083916601213e+01,5.147606668618139736e+01
7.588711367255490359e+01,5.147606668618139736e+01
7.589544650594378083e+01,5.298053709526680422e+01
7.590377933933265808e+01,5.298053709526680422e+01
7.591211217272154954e+01,5.298053709526680422e+01
7.592044500611042679e+01,5.298053709526680422e+01
7.592877783949931825e+01,5.330040161943821175e+01
7.593711067288819550e+01,5.330040161943821175e+01
7.594544350627707274e+01,5.330040161943821175e+01
7.595377633966596420e+01,5.330040161943821175e+01
7.596210917305484145e+01,5.245244403896264629e+01
7.597044200644373291e+01,5.245244403896264629e+01
7.597877483983261016e+01,5.245244403896264629e+01
7.598710767322148740e+01,5.245244403896264629e+01
7.599544050661037886e+01,5.007223724287918998e+01
7.600377333999925611e+01,5.007223724287918998e+01
7.601210617338813336e+01,5.007223724287918998e+01
7.602043900677702482e+01,5.007223724287918998e+01
7.602877184016590206e+01,4.662707413831547854e+01
7.603710467355479352e+01,4.662707413831547854e+01
7.604543750694367077e+01,4.662707413831547854e+01
7.605377034033254802e+01,4.662707413831547854e+01
7.606210317372143948e+01,4.262145672746687097e+01
7.607043600711031672e+01,4.262145672746687097e+01
7.607876884049920818e+01,4.262145672746687097e+01
7.608710167388808543e+01,4.262145672746687097e+01
7.609543450727696268e+01,3.776293476727200016e+01
7.610376734066585414e+01,3.776293476727200016e+01
7.611210017405473138e+01,3.776293476727200016e+01
7.612043300744360863e+01,3.776293476727200016e+01
7.612876584083250009e+01,3.161864881671808547e+01
7.613709867422137734e+01,3.161864881671808547e+01
7.614543150761026880e+01,3.161864881671808547e+01
7.615376434099914604e+01,3.161864881671808547e+01
7.616209717438802329e+01,2.553674016150137405e+01
7.617043000777691475e+01,2.553674016150137405e+01
7.617876284116579200e+01,2.553674016150137405e+01
7.618709567455468346e+01,2.553674016150137405e+01
7.619542850794356070e+01,1.841221978056622888e+01
7.620376134133243795e+01,1.841221978056622888e+01
7.621209417472132941e+01,1.841221978056622888e+01
7.622042700811020666e+01,1.841221978056622888e+01
7.622875984149909812e+01,1.302843135417234954e+01
7.623709267488797536e+01,1.302843135417234954e+01
7.624542550827685261e+01,1.302843135417234954e+01
7.625375834166574407e+01,1.302843135417234954e+01
7.626209117505462132e+01,7.985387473764093080e+00
7.627042400844349856e+01,7.985387473764093080e+00
7.627875684183239002e+01,7.985387473764093080e+00
7.628708967522126727e+01,7.985387473764093080e+00
7.629542250861015873e+01,4.697151439097797976e+00
7.630375534199903598e+01,4.697151439097797976e+00
7.631208817538791322e+01,4.697151439097797976e+00
7.632042100877680468e+01,4.697151439097797976e+00
7.632875384216568193e+01,2.003432569389916651e+00
7.633708667555457339e+01,2.003432569389916651e+00
7.634541950894345064e+01,2.003432569389916651e+00
7.635375234233232788e+01,2.003432569389916651e+00
7.636208517572121934e+01,-8.888813132602610065e-03
7.637041800911009659e+01,-8.888813132602610065e-03
7.637875084249897384e+01,-8.888813132602610065e-03
7.638708367588786530e+01,-8.888813132602610065e-03
7.639541650927674254e+01,-8.070077485469596690e-01
7.640374934266563400e+01,-8.070077485469596690e-01
7.641208217605451125e+01,-8.070077485469596690e-01
7.642041500944338850e+01,-8.070077485469596690e-01
7.642874784283227996e+01,-9.294216255683898642e-03
7.643708067622115720e+01,-9.294216255683898642e-03
7.644541350961004866e+01,-9.294216255683898642e-03
7.645374634299892591e+01,-9.294216255683898642e-03
7.646207917638780316e+01,2.003328419489263990e+00
7.647041200977669462e+01,2.003328419489263990e+00
7.647874484316557187e+01,2.003328419489263990e+00
7.648707767655444911e+01,2.003328419489263990e+00
7.649541050994334057e+01,4.697666287416169872e+00
7.650374334333221782e+01,4.697666287416169872e+00
7.651207617672110928e+01,4.697666287416169872e+00
7.652040901010998653e+01,4.697666287416169872e+00
